Danceability,Energy,Key,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,tag
0.867,0.647,10,-8.765,0.583,0.04,0,0.131,0.56,77.471,energ
0.773,0.422,1,-4.572,0.187,0.00783,0.00693,0.129,0.488,77.502,energ
0.711,0.611,1,-5.453,0.329,0.00575,0,0.231,0.144,134.14,energ
0.665,0.887,11,-2.18,0.173,0.0125,0,0.272,0.622,151.052,energ
0.775,0.461,7,-6.594,0.124,0.157,0,0.0687,0.131,134.028,energ
0.772,0.75,5,-3.67,0.0455,0.0201,0,0.074,0.587,114.061,energ
0.397,0.593,1,-5.487,0.0699,0.404,0,0.344,0.464,199.527,energ
0.485,0.843,1,-3.993,0.0467,0.00129,1.01E-05,0.14,0.602,78.001,energ
0.673,0.706,8,-8.4,0.115,0.0603,2.75E-06,0.426,0.516,74.972,energ
0.768,0.714,10,-5.11,0.0401,0.352,0,0.15,0.842,131.443,energ
0.627,0.874,7,-4.153,0.0432,0.0505,0,0.118,0.483,125.095,energ
0.654,0.787,4,-4.999,0.0502,0.00515,0,0.144,0.409,123.979,energ
0.593,0.503,8,-6.725,0.22,0.293,0,0.405,0.71,178.781,energ
0.828,0.61,1,-4.23,0.0528,0.00544,0,0.158,0.311,126.011,energ
0.527,0.835,6,-5.298,0.0433,0.0166,0,0.249,0.654,125.983,energ
0.658,0.778,10,-5.575,0.06,0.262,0.0779,0.0773,0.627,146.1,energ
0.728,0.783,11,-4.424,0.266,0.237,0,0.434,0.555,77.011,energ
0.451,0.692,11,-4.741,0.0398,0.287,0,0.115,0.423,174.122,energ
0.563,0.678,2,-4.717,0.0392,0.0228,0,0.342,0.134,127.883,energ
0.51,0.882,8,-5.659,0.159,0.00158,0.00206,0.0764,0.653,154.029,energ
0.82,0.504,4,-9.113,0.141,0.261,7.00E-06,0.104,0.275,85.016,energ
0.716,0.946,1,-3.412,0.261,0.094,6.63E-05,0.0825,0.587,139.943,energ
0.768,0.727,7,-7.31,0.142,0.229,0,0.127,0.591,95.019,energ
